"practice_code","practice_name","postcode","subicb_code","non_white_popn","reg_popn","pct_non_white"
"A81031","HAVELOCK GRANGE PRACTICE","TS24 7PW","16C",527.599527005496,13186,0.0400120982106398
"A81032","THE GARTH","TS14 7DJ","16C",202.02545219134,11286,0.0179005362565426
"A81034","THORNABY & BARWICK MEDICAL GROUP","TS17 0EE","16C",2050.81977709122,21559,0.0951259231453789
"A81035","NEWLANDS MEDICAL CENTRE","TS1 3RX","16C",2472.78402892616,10051,0.246023682113835
"A81036","NORTON MEDICAL CENTRE","TS20 2UZ","16C",640.502079887684,17196,0.0372471551458295
"A81037","THE ERIMUS PRACTICE","TS1 2NX","16C",2188.44109856763,7167,0.305349671908418
"A81038","HIRSEL MEDICAL CENTRE","TS3 6AL","16C",851.652222224825,3828,0.222479681876913
"A81039","EAGLESCLIFFE MEDICAL PRACTICE","TS16 9EA","16C",718.185624348174,11432,0.0628223954118417
"A81040","MARSH HOUSE MEDICAL PRACTICE","TS23 2DG","16C",231.496224413703,8521,0.0271677296577518
"A81041","HART MEDICAL PRACTICE","TS24 9DN","16C",282.715692741757,9405,0.0300601480852479
"A81042","SOUTH GRANGE MEDICAL GROUP PRACTICE","TS6 9QG","16C",726.752164202935,14616,0.0497230544747493
"A81043","THE MANOR HOUSE SURGERY","TS6 0HA","16C",244.256380840574,8426,0.028988414531281
"A81044","MCKENZIE HOUSE SURGERY","TS25 1QU","16C",714.053076091581,18723,0.0381377490835646
"A81045","THE COATHAM ROAD SURGERY","TS10 1SR","16C",152.47198482605,6133,0.0248609138800017
"A81046","WOODLANDS FAMILY MEDICAL CENTRE","TS18 1YE","16C",1523.05299050645,12135,0.12550910510972
"A81048","ZETLAND MEDICAL PRACTICE","TS11 7BL","16C",112.654765923377,7111,0.0158423239942873
"A81049","KINGS MEDICAL CENTRE","TS3 6AL","16C",790.709129637441,6550,0.120718951089686
"A81051","CAMBRIDGE MEDICAL GROUP","TS5 5NN","16C",1386.49506699052,6881,0.201496158551159
"A81052","THE GREEN HOUSE SURGERY","TS10 4NW","16C",211.700992411125,9818,0.0215625374221964
"A81053","WOODSIDE SURGERY","TS13 4HW","16C",82.1473194899818,6063,0.0135489558782751
"A81054","THE SALTSCAR SURGERY","TS10 1UA","16C",200.779410019681,8528,0.0235435518315761
"A81056","MELROSE SURGERY","TS23 2JW","16C",62.4555727599142,2480,0.0251836986935138
"A81057","KINGSWAY MEDICAL CENTRE","TS23 2LS","16C",242.406211741225,9313,0.0260287997145093
"A81058","COULBY MEDICAL PRACTICE","TS8 0TL","16C",450.634091366661,9295,0.0484813438802218
"A81060","THE KOH PRACTICE","TS26 8DB","16C",222.356108847834,5968,0.0372580611340204
"A81063","THE HEADLAND MEDICAL CENTRE","TS24 0NZ","16C",168.297683058443,5504,0.0305773406719554
"A81064","THE DISCOVERY PRACTICE","TS1 2NX","16C",2603.08729586695,8212,0.316985788585844
"A81065","THE ESTON SURGERY","TS6 6TD","16C",161.695991098782,3834,0.0421742282469437
"A81066","PARK LANE SURGERY","TS21 1JS","16C",219.593306262059,5200,0.0422294819734729
"A81067","ALMA MEDICAL CENTRE","TS18 2BP","16C",1304.78944480792,11596,0.112520648914101
"A81070","MCKENZIE GROUP PRACTICE","TS25 3DQ","16C",175.194189142067,6552,0.0267390398568479
"A81602","DR RASOOL","TS23 2DG","16C",65.9625525442551,2300,0.0286793706714153
"A81608","ELM TREE SURGERY","TS17 6PG","16C",1224.9815015611,8345,0.146792271007921
"A81610","THE ROSEBERRY PRACTICE","TS23 2DG","16C",226.59880935492,7966,0.0284457455881144
"A81611","PARKWAY MEDICAL CENTRE","TS8 0TL","16C",407.960223287009,8148,0.0500687559262407
"A81612","THE PATEL PRACTICE","TS25 1AX","16C",88.5572355753333,3803,0.0232861518736085
"A81618","HUNTCLIFF SURGERY","TS12 1BJ","16C",197.120621564849,10020,0.0196727167230388
"A81621","THORNTREE SURGERY","TS3 9NB","16C",155.260336726305,2580,0.0601784250877151
"A81622","GLADSTONE HOUSE SURGERY","TS26 8DF","16C",306.797158274691,5722,0.053617119586629
"A81629","RIVERSIDE MEDICAL PRACTICE","TS18 2AP","16C",622.636898068887,5692,0.109388070637542
"A81630","FOUNDATIONS","TS5 4EQ","16C",202.394769199011,752,0.269141980317833
"A81631","WEST VIEW MILLENIUM SURGERY A","TS24 9LJ","16C",211.14716905414,7174,0.0294322789314385
"A81633","FOUNDATIONS -HARRIS STREET","TS1 5EF","16C",744.953528733218,1758,0.423750585172479
"A81634","THE ARRIVAL PRACTICE","TS18 2EP","16C",605.959346649363,2940,0.206108621309307
"A82003","ULVERSTON HEALTH CENTRE (MURRAY)","LA12 7BT","01K",240.609088116672,11546,0.0208391727106073
"A82004","ALSTON MEDICAL PRACTICE","CA9 3QX","01H",27.5524608517937,2236,0.0123222096832709
"A82005","AMBLESIDE HEALTH CENTRE","LA22 9BP","01K",173.009273802739,6033,0.0286771546167311
"A82006","APPLEBY MEDICAL PRACTICE","CA16 6QR","01H",63.8919573435733,5032,0.012697129837753
"A82007","DUKE STREET SURGERY","LA14 1LF","01K",310.829722229319,9769,0.0318179672667949
"A82008","NORWOOD MEDICAL CENTRE","LA14 5ES","01K",365.403821325517,11075,0.0329935730316494
"A82009","BRIDGEGATE MEDICAL CENTRE","LA13 9SH","01K",277.578070699724,8769,0.0316544726536349
"A82010","ABBEY ROAD SURGERY","LA14 2LB","01K",210.241967750233,6395,0.0328759918295907
"A82012","BRAMPTON MEDICAL PRACTICE","CA8 1NL","01H",295.399016985587,16834,0.0175477614937381
"A82013","UPPER EDEN MEDICAL PRACTICE","CA17 4RB","01H",98.320175134038,6679,0.0147207928034194
"A82014","CALDBECK SURGERY","CA7 8DS","01H",58.6473226329328,4358,0.0134573939038396
"A82015","WARWICK ROAD SURGERY","CA1 1EB","01H",216.94622790804,5303,0.040910093891767
"A82016","CARLISLE HEALTHCARE","CA1 1DG","01H",1349.4469827858,37516,0.0359699057145165
"A82018","SPENCER ST SURGERY","CA1 1BP","01H",485.931658072631,13130,0.0370092656567121
"A82019","FUSEHILL MEDICAL PRACTICE","CA1 2HE","01H",352.985533983291,7878,0.0448064907315677
"A82020","EDEN MEDICAL GROUP","CA2 7AJ","01H",572.574859392664,16329,0.0350649065706818
"A82021","CASTLEGATE AND DERWENT SURGERY","CA13 9HT","01H",407.200016179639,17902,0.0227460627963155
"A82022","DALSTON MEDICAL GROUP","CA5 7PZ","01H",111.384474797066,5152,0.0216196573752068
"A82023","DISTINGTON SURGERY","CA14 5UR","01H",70.3167990035451,5567,0.012631003952496
"A82024","SEASCALE HEALTH CENTRE","CA20 1PN","01H",146.651394587731,5878,0.024949199487535
"A82025","CAPTAIN FRENCH SURGERY","LA9 4JE","01K",330.112903430057,11026,0.0299394978623306
"A82026","THE JAMES COCHRANE PRACT.","LA9 7HR","01K",446.186778238349,17479,0.0255270197516076
"A82027","STATION HOUSE SURGERY","LA9 6SA","01K",251.688380851997,9931,0.0253437096820055
"A82028","CASTLEHEAD MEDICAL CENTRE","CA12 4DB","01H",244.962915987679,8380,0.0292318515498424
"A82029","THE CROFT SURGERY","CA7 5JH","01H",29.5657837903702,3472,0.00851549072303289
"A82030","LUNESDALE SURGERY","LA6 2HQ","01K",142.171730305345,6587,0.0215836845764908
"A82031","SHAP MEDICAL PRACTICE","CA10 3LW","01H",28.9058991249448,3189,0.00906425184225301
"A82032","MARYPORT HEALTH SERVICES","CA15 8EL","01H",157.215877962249,13695,0.0114798012385724
"A82033","WATERLOO HOUSE SURGERY","LA18 4BY","01K",117.931989387408,8056,0.0146390254949613
"A82035","BIRBECK MEDICAL GROUP","CA11 8HW","01H",371.632292146133,14354,0.0258905038418652
"A82036","THE LAKES MEDICAL PRACTICE","CA11 8HW","01H",284.653914430268,10886,0.0261486234089903
"A82037","SILLOTH GROUP MEDICAL PRACTICE","CA7 4AH","01H",40.9573308407219,4328,0.00946333891883592
"A82038","TEMPLE SOWERBY MEDICAL PRACTICE","CA10 1RW","01H",65.1228619099349,4876,0.0133557961259095
"A82039","DALTON SURGERY","LA15 8AB","01K",175.808444802155,8715,0.0201730860358181
"A82041","LOWTHER MEDICAL CENTRE","CA28 7RG","01H",246.580462571067,9968,0.0247372053141118
"A82044","FELLVIEW HEALTHCARE","CA22 2BD","01H",455.505908765601,24003,0.0189770407351415
"A82045","WIGTON GROUP MEDICAL PRACTICE","CA7 9QD","01H",109.412232880842,8975,0.0121907780368626
"A82046","WINDERMERE HEALTH CENTRE","LA23 2EG","01K",181.49253057549,5069,0.035804405321659
"A82047","JAMES STREET GROUP PRACT","CA14 2DL","01H",463.606610981409,32998,0.0140495366683256
"A82053","NUTWOOD MEDICAL PRACTICE","LA11 7DJ","01K",109.9695893303,7625,0.0144222412236459
"A82055","ASPATRIA MEDICAL GROUP","CA7 3HH","01H",65.0916065091532,6868,0.00947751987611433
"A82058","QUEEN STREET MEDICAL PRACTICE","CA28 7BA","01H",106.602816567848,4372,0.024383077897495
"A82062","ATKINSON HEALTH CENTRE","LA14 2LB","01K",169.295671837775,5175,0.0327141394855604
"A82064","WESTCROFT HOUSE SURGERY","CA22 2DB","01H",89.5470848405724,5347,0.0167471638003689
"A82068","ULVERSTON COMMUNITY HEALTH CENTRE","LA12 7BT","01K",97.1433288905496,4524,0.021472884370148
"A82070","ST. MARY'S SURGERY","LA23 1BA","01K",223.285334786812,6569,0.0339907649241607
"A82071","BURNETT EDGAR MEDICAL CTR","LA14 3HY","01K",81.2312075793731,4126,0.0196876411971336
"A82072","RISEDALE SURGERY","LA14 2LB","01K",213.905015400069,6737,0.0317507815645048
"A82075","MANSION HOUSE SURGERY","CA28 7BU","01H",188.192585201316,7270,0.0258861877856005
"A82077","LIVERPOOL HOUSE SURGERY","LA13 9QY","01K",165.235998815383,5210,0.031715162920419
"A82608","SEDBERGH MEDICAL PRACTICE","LA10 5DL","01K",89.2409908325423,4547,0.0196263450258505
"A82613","WRAYSDALE HOUSE SURGERY","LA21 8ER","01K",13.4718851565667,1051,0.0128181590452585
"A82617","KIRKOSWALD SURGERY","CA10 1DQ","01H",30.1195492042311,2715,0.0110937566129765
"A82620","GLENRIDDING HEALTH CENTRE","CA11 0PD","01H",18.4717905957104,931,0.0198408062252529
"A82629","THE FAMILY PRACTICE","LA14 5SL","01K",101.992505836634,2953,0.034538606785179
"A82631","COURT THORN SURGERY","CA4 0HP","01H",48.7652004110163,3689,0.013219083873954
"A82646","LONGTOWN MEDICAL CENTRE","CA6 5XA","01H",36.6280899160494,3614,0.0101350553171138
"A82647","CARTMEL SURGERY","LA11 6PH","01K",43.4501327535531,3056,0.0142179753774716
"A82650","HAVERTHWAITE SURGERY","LA12 8QF","01K",42.7185950868413,2860,0.0149365717086858
"A82651","DUDDON VALLEY MEDICAL PRACTICE","LA17 7TE","01K",68.7593521830741,4846,0.0141888881929579
"A82654","WARWICK SQUARE GROUP PRACTICE","CA1 1LB","01H",273.600388361914,7773,0.0351988149185532
"A83001","ST ANDREW'S MEDICAL PRACTICE","DL16 6QA","84H",312.97257964981,14964,0.0209150347266646
"A83003","WILLINGTON MEDICAL GROUP","DL15 0EQ","84H",191.913566850334,9179,0.0209078948524168
"A83005","WHINFIELD MEDICAL PRACTICE","DL1 3RT","16C",540.412301100257,12041,0.0448810149572508
"A83006","ORCHARD COURT SURGERY","DL3 6HZ","16C",536.278771566628,8372,0.0640562316730325
"A83007","BLACKHALL AND PETERLEE PRACTICE","TS27 4LQ","84H",181.42121439096,10004,0.0181348674920992
"A83008","HALLGARTH SURGERY","DL4 2HP","84H",92.3637836187446,5298,0.0174337077423074
"A83009","BRIDGE END SURGERY","DH3 3SL","84H",214.916268007896,7989,0.026901523095243
"A83010","MOORLANDS SURGERY","DL3 9JP","16C",687.883571787738,13487,0.0510034530872498
"A83011","CLAYPATH & UNIVERSITY MEDICAL GROUP","DH1 1QW","84H",5807.21165528837,34351,0.169055097531029
"A83012","WILLIAM BROWN CENTRE","SR8 5TW","84H",273.159954167792,15900,0.0171798713313077
"A83013","NEASHAM ROAD SURGERY","DL1 4YL","16C",757.224658029006,12890,0.0587451247501169
"A83014","BELMONT & SHERBURN MEDICAL GROUP","DH1 2QW","84H",218.011927238776,6309,0.0345557025263553
"A83015","STATION VIEW MEDICAL CENTRE","DL14 6AB","84H",215.587445707638,9899,0.0217787095370884
"A83016","TANFIELD VIEW MEDICAL GROUP","DH9 8AD","84H",219.137161690393,10811,0.0202698327342885
"A83018","CONSETT MEDICAL CENTRE","DH8 5YA","84H",328.641795991039,17379,0.0189102822942079
"A83020","NORTH HOUSE SURGERY","DL15 9HU","84H",211.453750270752,13434,0.0157401928145565
"A83021","AUCKLAND MEDICAL GROUP","DL14 6RP","84H",366.445968517468,15178,0.0241432315533975
"A83022","THE MEDICAL GROUP","DH7 8NH","84H",892.980424276725,26795,0.0333263826936639
"A83023","STANLEY MEDICAL GROUP","DH9 0AB","84H",252.151369407141,12224,0.0206275662145894
"A83024","WEST RAINTON SURGERY","DH4 6RQ","84H",135.86038430784,5480,0.0247920409320877
"A83025","BISHOPGATE MEDICAL CENTRE","DL14 7EJ","84H",305.28511917765,13274,0.0229987282791661
"A83026","SACRISTON MEDICAL CENTRE","DH7 6JW","84H",382.069157469257,10677,0.0357843174552081
"A83027","COXHOE MEDICAL PRACTICE","DH6 4DH","84H",205.625882370498,7071,0.0290801700424972
"A83028","MIDDLE CHARE MEDICAL GROUP","DH3 3QD","84H",314.149530670711,9383,0.033480713063062
"A83029","GREAT LUMLEY SURGERY","DH3 4LE","84H",121.050653746584,5246,0.0230748482170385
"A83030","DUNELM MEDICAL PRACTICE","DH7 7DG","84H",1208.39648389713,14301,0.0844973417171618
"A83031","CARMEL MEDICAL PRACTICE","DL3 8SQ","16C",604.026303741256,11057,0.054628407682125
"A83032","WOODVIEW MEDICAL PRACTICE","DL13 5AF","84H",40.1772133652912,2508,0.0160196225539438
"A83033","PELTON & FELLROSE MEDICAL GROUP","DH2 1HS","84H",223.406547395952,9281,0.0240713875009107
"A83034","BLACKETTS MEDICAL PRACTICE","DL3 7JR","16C",920.970062373793,10563,0.0871883046836877
"A83035","THE WEARDALE PRACTICE","DL13 2XD","84H",105.396309139088,7173,0.0146934768073454
"A83036","CHASTLETON MEDICAL GROUP","DH1 5BH","84H",1003.91610096037,10802,0.0929379837956277
"A83037","BEWICK CRESCENT SURGERY","DL5 5LH","84H",272.943864201624,13477,0.0202525683907119
"A83038","CEDARS MEDICAL GROUP","NE16 6HU","84H",119.371218050936,5879,0.0203046807366791
"A83040","CLIFTON COURT MEDICAL PRACTICE","DL1 5JN","16C",744.091362051749,11819,0.0629572182123487
"A83041","MURTON MEDICAL CENTRE","SR7 9AB","84H",141.90373290601,7223,0.0196460934384619
"A83043","OLD FORGE SURGERY","DL12 0QE","84H",30.3867446610359,2707,0.0112252473812471
"A83044","THE HORDEN GROUP PRACTICE","SR8 4LD","84H",141.819969980039,7788,0.0182100629147456
"A83045","FERRYHILL AND CHILTON MEDICAL PRACTICE","DL17 8JJ","84H",255.12868671687,14954,0.0170608992053544
"A83046","BARNARD CASTLE SURGERY","DL12 8HT","84H",279.450992144409,10851,0.0257534782180821
"A83047","DENMARK STREET SURGERY","DL3 0PD","16C",931.245738774002,15268,0.0609933022513756
"A83048","ROCKLIFFE COURT SURGERY","DL2 2DS","16C",177.419113857577,5984,0.029648916085825
"A83049","QUEENS ROAD SURGERY","DH8 0BW","84H",299.384982524463,15257,0.0196227949481853
"A83050","CESTRIA HEALTH CENTRE","DH2 3DJ","84H",353.693524388564,12759,0.0277211007436762
"A83051","MARLBOROUGH SURGERY","SR7 7JE","84H",247.606472285267,10986,0.0225383644898295
"A83052","BISHOPS CLOSE MEDICAL PRACTICE","DL16 6ED","84H",179.096003353423,8703,0.0205786514251894
"A83054","SKERNE MEDICAL GROUP","TS21 3BN","84H",467.864113227861,16225,0.0288360008152765
"A83055","CHEVELEY PARK MEDICAL CTR","DH1 2UW","84H",181.359930336916,4842,0.0374555824735473
"A83057","EAST DURHAM MEDICAL GROUP","TS28 5PZ","84H",328.558530843153,18125,0.0181273672189326
"A83060","PINFOLD MEDICAL PRACTICE","DL13 5NX","84H",41.3903820703549,2992,0.0138336838470437
"A83061","GAINFORD SURGERY","DL2 3BE","84H",66.1635971171119,3508,0.0188607745487776
"A83066","JUBILEE MEDICAL GROUP","DL5 4SE","84H",253.032659935356,11560,0.0218886384027124
"A83070","ST GEORGE'S MEDICAL PRACTICE","DL2 1BY","16C",198.471079858893,5733,0.0346190615487342
"A83071","THE NEW SEAHAM MEDICAL GROUP","SR7 8DY","84H",101.832190897785,4675,0.0217822868230557
"A83072","LANCHESTER MEDICAL CENTRE","DH7 0LP","84H",88.9613703699934,4155,0.0214106787894088
"A83073","DRS LAMBERT & NG","DH9 7XT","84H",109.238048485252,5115,0.0213564122160806
"A83074","PEASE WAY MEDICAL CENTRE","DL5 5NH","84H",253.148946741527,12176,0.0207908136285749
"A83075","BYRON MEDICAL PRACTICE","SR7 8LF","84H",189.763455935141,8410,0.0225640256759977
"A83610","WINGATE MEDICAL PRACTICE INTRAHEALTH","TS28 5PZ","84H",54.3992389550895,3344,0.0162677149985316
"A83616","BEVAN MEDICAL GROUP","DH6 2LQ","84H",160.441227765462,7930,0.0202321850902222
"A83617","BROWNEY HOUSE SURGERY","DH7 9YT","84H",57.064509301282,2598,0.021964784180632
"A83618","OAKFIELDS HEALTH GROUP","NE17 7SB","84H",144.960249526358,7643,0.0189664071079887
"A83619","SOUTHDENE MEDICAL CENTRE","DH6 2LT","84H",73.4432971614342,3528,0.0208172611001798
"A83622","THE HAVEN SURGERY","DH7 0BD","84H",33.0931827652332,1699,0.0194780357652932
"A83626","EVENWOOD MEDICAL PRACTICE","DL14 9SU","84H",35.0062622711498,2142,0.016342792843674
"A83627","SILVERDALE FAMILY PRACTICE","DH6 2TH","84H",142.486948654447,6339,0.0224778275208151
"A83634","WEST CORNFORTH MEDICAL CENTRE","DL17 9LH","84H",73.1668297750026,2812,0.0260194984975116
"A83635","BOWBURN MEDICAL CENTRE","DH6 5AL","84H",237.724392541337,4180,0.056871864244339
"A83636","LEADGATE SURGERY","DH8 6DP","84H",106.981175173953,6070,0.0176245758111949
"A83637","VILLAGES MEDICAL GROUP","DH2 2NJ","84H",100.549636581853,4256,0.0236253845352099
"A83641","PARKGATE SURGERY","DL1 5LW","16C",327.278681718157,4704,0.0695745496849825
"A83644","ANNFIELD PLAIN SURGERY","DH9 7TD","84H",82.0905859706103,3517,0.0233410821639495
"A84002","THE ROTHBURY PRACTICE","NE65 7UW","00L",101.807520334272,6029,0.0168863029249082
"A84005","BEDLINGTONSHIRE MED.GROUP","NE22 6JX","00L",244.700070711857,12176,0.0200969177654284
"A84006","ALNWICK MEDICAL GROUP","NE66 2NL","00L",291.231384541881,18842,0.0154565006125614
"A84007","PONTELAND MEDICAL GROUP","NE20 9SD","00L",897.926907704031,10721,0.083754025529711
"A84008","BELFORD MEDICAL PRACTICE","NE70 7ER","00L",46.4433829194921,4509,0.0103001514569732
"A84009","RAILWAY MEDICAL GROUP","NE24 1HD","00L",733.086213204676,26815,0.0273386616895273
"A84011","WHITE MEDICAL GROUP","NE20 9SD","00L",557.80149658632,8104,0.0688303919775814
"A84013","THE GABLES MEDICAL GROUP","NE22 7DU","00L",114.792907225989,6277,0.0182878615940718
"A84014","MARINE MEDICAL GROUP","NE24 1DX","00L",336.933812411465,12950,0.0260180550124683
"A84016","PRUDHOE MEDICAL GROUP","NE42 5PW","00L",159.816269679813,6938,0.0230349192389468
"A84018","CORBRIDGE HEALTH CENTRE","NE45 5LG","00L",127.858191402853,7165,0.017844827830126
"A84020","GUIDEPOST MEDICAL GROUP","NE62 5RA","00L",157.675213111517,7997,0.0197167954372286
"A84022","COQUET MEDICAL GROUP","NE65 9SF","00L",177.137294787653,11921,0.0148592647250778
"A84024","BURN BRAE MEDICAL GROUP","NE46 1QJ","00L",216.550821587042,10226,0.0211764934076904
"A84025","CRAMLINGTON MEDICAL GROUP","NE23 6QN","00L",121.11094961213,5041,0.0240251834183951
"A84026","WELL CLOSE MEDICAL GROUP","TD15 1LL","00L",187.609612174514,8875,0.0211391112309311
"A84027","BELLINGHAM PRACTICE","NE48 2HE","00L",32.2272133359897,3440,0.00936837596976446
"A84028","SEATON PARK MEDICAL GROUP","NE63 0NG","00L",497.711151755134,18966,0.0262422836525959
"A84029","NORTHUMBERLAND HEALTH","NE61 5LX","00L",79.0301319741548,4499,0.0175661551398433
"A84030","VILLAGE MEDICAL GROUP","NE23 6US","00L",218.205505248896,9908,0.0220231636302883
"A84031","GREYSTOKE SURGERY","NE61 1JX","00L",269.763426670535,10269,0.0262696880582856
"A84033","THE SELE MEDICAL PRACTICE","NE46 1QJ","00L",119.799265565844,5769,0.0207660366728799
"A84034","HALTWHISTLE MEDICAL GROUP","NE49 9AP","00L",52.7832429483782,5596,0.00943231646682956
"A84035","RIVERSDALE SURGERY","NE42 5DQ","00L",136.04968622095,5979,0.0227545887641663
"A84036","VALENS MEDICAL PARTNERSHIP","NE61 1BJ","00L",1246.87896709307,51787,0.0240770650374238
"A84037","NETHERFIELD HOUSE","NE23 7EF","00L",106.298532673293,6015,0.0176722415084444
"A84038","FORUM FAMILY PRACTICE","NE23 6QN","00L",168.840160477368,7540,0.0223925942277676
"A84039","GAS HOUSE LANE SURGERY","NE61 1JX","00L",163.501301695908,6249,0.0261643945744772
"A84040","HUMSHAUGH & WARK MED GRP","NE46 4BU","00L",59.0856731012118,3639,0.0162367884312206
"A84042","SCOTS GAP MEDICAL GROUP","NE61 4EG","00L",47.4545489597473,2057,0.0230697855905432
"A84044","UNION BRAE & NORHAM PRAC","TD15 2HB","00L",136.213988126222,7190,0.0189449218534384
"A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT","NE47 6LA","00L",72.5473045877385,5391,0.0134571145590314
"A84047","BRANCH END SURGERY","NE43 7LL","00L",107.619663936498,5368,0.0200483725664116
"A84604","WOOLER HEALTH","NE71 6BL","00L",49.364435585161,4742,0.0104100454629188
"A84614","THE ADDERLANE SURGERY","NE42 5HR","00L",45.9169145860619,2009,0.0228556070612553
"A84619","ELSDON AVENUE SURGERY","NE25 0BW","00L",74.0619108452785,4046,0.0183049705499947
"A85001","FELL TOWER MEDICAL CENTRE","NE9 5EY","13T",379.975720746297,7457,0.0509555747279465
"A85002","BENSHAM FAMILY PRACTICE","NE8 2XB","13T",409.593662394559,3944,0.103852348477322
"A85004","LONGRIGG MEDICAL CENTRE","NE10 8PH","13T",497.672364400162,10481,0.04748329018225
"A85005","OXFORD TCE & RAWLING RD MEDICAL GROUP","NE8 1RQ","13T",1925.42912242364,16391,0.117468679301058
"A85006","GLENPARK MEDICAL CENTRE","NE11 9FJ","13T",614.039290684285,9095,0.0675139407019555
"A85007","FELL COTTAGE SURGERY","NE9 5XY","13T",466.68614841368,8240,0.0566366684968059
"A85008","BIRTLEY MEDICAL GROUP","DH3 2QT","13T",703.747694447449,15721,0.0447648174064912
"A85009","CROWHALL MEDICAL CENTRE","NE10 9QG","13T",484.293803156565,6142,0.0788495283550253
"A85010","CHAINBRIDGE MEDICAL PARTNERSHIP","NE21 5AE","13T",295.099437879609,11265,0.0261961329675641
"A85011","ST. ALBANS MEDICAL GROUP","NE10 9QG","13T",593.23763430604,7283,0.0814551193609832
"A85012","METRO INTERCHANGE SURGERY","NE8 1HR","13T",366.164517646082,3226,0.113504190218872
"A85013","MILLENNIUM FAMILY PRACTICE","NE8 1AD","13T",438.9342684277,3630,0.1209185312473
"A85014","CRAWCROOK MEDICAL CENTRE","NE40 4US","13T",511.623330381468,20334,0.0251609781834105
"A85016","WREKENTON MEDICAL GROUP","NE9 7AD","13T",612.370677525647,11327,0.0540629184714087
"A85017","BEWICK ROAD SURGERY","NE8 4DP","13T",1047.26631313019,7342,0.142640467601497
"A85018","OLDWELL SURGERY","NE21 4RD","13T",121.233501277574,4790,0.0253097079911428
"A85019","CENTRAL GATESHEAD MEDICAL GROUP","NE8 1NB","13T",1220.73127937404,10496,0.116304428294021
"A85020","WHICKHAM COTTAGE MEDICAL CENTRE","NE16 4PD","13T",469.453426837075,15612,0.0300700375888467
"A85021","SECOND STREET SURGERY","NE8 2UR","13T",610.311682069083,4120,0.148133903414826
"A85023","TEAMS MEDICAL PRACTICE","NE8 2PQ","13T",666.621736931633,5655,0.117881827927787
"A85024","CHOPWELL PRIMARY HEALTHCARE CENTRE","NE17 7BU","13T",76.0922239749933,2497,0.0304734577392845
"A85026","BEACON VIEW MEDICAL CENTRE","NE9 6YS","13T",318.153761743152,5102,0.0623586361707471
"A85611","PELAW MEDICAL PRACTICE","NE10 0RR","13T",248.094138373777,5461,0.0454301663383587
"A85614","THE BRIDGES MEDICAL PRACTICE","NE8 1AD","13T",950.572891724495,6519,0.145815752680548
"A85616","HOLLYHURST MEDICAL CENTRE","NE21 4RD","13T",122.20879373797,4578,0.0266947998553889
"A85617","SUNNISIDE SURGERY","NE16 5LP","13T",97.3388057571377,3725,0.0261312230220504
"A86003","SAVILLE MEDICAL GROUP","NE5 4BS","13T",10169.1565606106,40981,0.248143201986546
